Level,Zones,Mean_Density,Median_Density,Std_Density,Min_Density,Max_Density,Q25_Density,Q75_Density,Mean_Buildable_Pct
Arrondissements,20,2.381860833489811,2.306573546998264,0.3965427943694387,1.896087540371184,3.2546270937584065,2.0630064491136184,2.608184768103568,80.805
Quartiers,80,2.3977740671605785,2.333460600323101,0.4829463515840444,1.4626275220148517,3.55233661867673,2.0454492434022984,2.684086484224701,83.05125000000001
IRIS,992,2.3948068498525896,2.496095740235489,0.8153293853307854,0.0,9.087114683491984,2.0912067077212857,2.851713296966897,90.6789314516129
